#indo
*Indo-European
+Proto-Indo- European	*oynos / *sem	*duwō	*treyes	*kwetwores	*penkwe	*sweks	*septṃ	*oktō	*newṇ 	*dekṃ
…Vernacular	wonnu	rendu	muunu	naalu	anji	aarru	yerzhu	e:ttu	ambordu	pathu
!Malayalam	onnu	raṇṭu	mūnnu	nālu	añcu	āṟu	ēḻu	eṭṭu	oṉpatu	pattu
…written	ഒന്ന്	രണ്ട്	മുന്ന്	നാല്	അഞ്ച്	അറ്	ഏഴ്	എട്ട്	ഒന്പത്	പത്ത്
Irula	vondu	irndu	mura	nāku	eindu	aru	elu	yeṭṭu	vombadu	pattu

*Elamite
+Elamite	ki	--	atbazash

*Sumerian
+Sumerian	deš	min	peš	lim	i	i-aš	i-min	i-us	i-lim	hu

*Nahali
Nahali	biḍum	irar	moṭho	nālo	pãco	chāh	sato	aṭho	nav	das

*Burushashki
Hunza	hik	altó	iskí	wálti	cshindí	mishíndi	thalé	altámbi	huntí	tóorimi
Yasin	hek	altó	iskí	wálte	cendí	bishínde	thalé	altámbe	hutí	tórom

*Basque
+Ancient Basque	*bade	*biga	*(h)ilur	*laur	*bortz(e)				*bade-eratsi
!Basque	bat	bi	hiru	lau	bost	sei	zazpi	zortzi	bederatzi	hamar

*Etruscan
+Etruscan	thu(n)	zal	ci	huth	mach	sa	semph	cezp	enva?	zar

*Hurrian
+Hurrian	--	šin	kig	tumni	--	--	šindia	--	niži	eman

*Meroitic
+Meroitic	--	-tbu

#afro
*Afro-Asiatic
**Semitic
*3East
+Akkadian	ištēn	šena	šalaš	erbe	h`amiš	šiššu	sebe	samāne	tiše	ešer
**Central
*3Arabic
!Arabic	wāḥid	iθnān	θalāθah	’arba‘ah	χamsah	sittah	sab‘ah	θamāniyyah	tis‘ah	‘ašarah
…numerals	١	٢	٣	٤	٥	٦	٧	٨	٩	١٠
…Kashka-Darya (Uzbeki)	fad	isnēn	salās	órba‘
…Saudi (Najdi)	waaḥid	itneen	talaata	arba‘a	xamsa	sitta	sab‘a	tamanya	tis‘a	‘ašara
…Yemeni	waaḥid	ʔiθnayn	θalaaθeh	ʔarba‘ah	xamseh	sitteh	sab‘aḥ	θamaaniyeh	tis‘ah	‘ašarah
…Syrian (Levantine)	wāḥed	tnēn	tlāte	ʔarb‘a	xamse	sətte	sab‘a	tmāne	tes‘a	‘ašara
…Lebanese	wäḥad	tnain	tlêti	àrb‘à	xamsi	setti	sab‘a	tmêni	tes‘a	‘àšrà
…Cypriot	ʔéxen	xnayn	tláxe	ʔárba‘	xámsi	sítte	sába‘	xménye	tís‘a	‘ášra
…Iraqi	waaḥid	θinayn	θilaaθa	’arba‘a	xamsa	sitta	sab‘a	θimaanya	tis’a	‘ašra
…Egyptian	wāḥid	ʔitnēn	talāta	ʔarba‘a	xamsa	sitta	sab‘a	tamanya	tis‘a	‘ašara
…E Libyan	’waḥad	iθ’nēn	θi’lāθ	’arbu‘a	’xamsa	’sitta	’sab‘a	θi’mānya	’tis‘a	’‘ashura
…Algerian (Darja)	wāḥed	zūj	θlāθa	rab‘a	xamsa	sitta	seb‘a	θmānya	tis‘a	‘ašra
…Moroccan	waḥed	žuž	tlata	ṛeb‘a	xemsa	setta	seb‘a	tmenya	tes‘ud	‘ešr`a
…Sudanese	waˈaḥid	itneˈyn	tala̍ata	ʔaˈrba‘a	kha̍msa	sıˈtta	sa̍b‘a	tamaˈanya	tıˈs‘a	‘aˈshara
…Nigerian	wāhid	tinēn	talāta	arba’a	xamsa	sitte	saba	tamāni	tis’e	ašara
…Zanzibari	wāḥi	hintēn	θelāθe	’arba’a	xamse	sitte	säba’a	θemānje	tis’a	’ašra
Maltese	wieħed	tnejn	tlieta	erbgħa	ħamsa	sitta	sebgħa	tmienja	disgħa	għaxra
*3Canaanite
+Phoenician	’-ḥ-d	š-n-m	š-l-š	’-r-b	ḥ-m-š	š-š	š-b-‘	š-m-n	t-š-‘	‘-š-r
+Ugaritic	ahd	t-n	t-l-t	arb-’-t	h-m-s	t-t	s-b-’-t	t-m-n	t-s	‘-s-r
+Moabite		t-n	š-l-š	’-r-b-‘	ḥ-m-š		š-b-‘-t
+Classical Hebrew	’aḥat	štayim	šâlôš	’arba‘	ḥâmêš	šêš	šeba‘	šᵉmôneh	têša‘	‘eser
!Modern Hebrew	’axat	štayim	šaloš	’arba	xameš	šeš	ševa‘	šmone	teša	‘eser
*3Aramaic
+Biblical	ḥaḏ	tərên	təlāṯā	ʾarbəʿâ	ḥamšâ	šittâ	šiḇʿâ	təmānyâ	tišʿâ	ʿaśrâ
+Jewish Babylonian	ḥad	tərên	təlātâ	ʾarbəʿâ	ḥamšâ	šittâ	šabʿâ	təmānyâ	tišʿâ	ʿaśrâ
+Jewish Palestinian	ḥad	tərê / tərên	təlātā	ʾarbəʿâ	ḥamšâ	šittâ	šibʿâ	təmānyâ	tišʿâ	ʿasrâ
+Samaritan	ʽǣd	tārẹm	tāḷāta	ærbǣ́	ʽæmša / ēmišša	šitta	šābǣ́	tāmānæ	tiššǣ́	ʽāsar
+Classical Syriac	ḥaḏ	trēn	tlāṯā	ʼarbʽā	ḥamšā	(ʼe)štā	šavʽā	tmānyā	tešʽā	ʽesrā
+Classical Mandaic	had	(e)trin	tlata	arba	hamša	šita	šuba	tmania	(e)tša 	asra
NE (Christian Urmi)	ḥ(ḏ)ā 	trān	tlāṯā	arbʿā	ḥamšā	ištā	šaḇʿā	tmānyā	ʿičā	ʿisrā
…Jewish Urmi	xa	tre	+taha	arba	xamša	əšta	ušwa	tmanya	+əčča	əsra
…Alqosh	xāʾ	trēʾ	ṭlāθa	ʾarba	xamša	ʾešta	šoʾa	tmanya	tešʾa	ʾesṛa
…Amədya	xa	tre	ṭḷaha	ʾarba	xamša	ʾəšta	šoʾa	tmanya	ʾəč̣ʾa	ʾəṣṛa
…Barwar	xa	tre	ṭḷāθa	ʾárba	xámša	ʾə́šta	šáwwa	tmánya	ʾəč̣č̣a	ʾə́ṣra
…Bohtan	xa	tra	ṭlota	arba	xamša	əšta	šawa	tmanya	əčča	əṣra
…Challa	xa	tre	ṭḷāha	ʾarba	xamša	ʾəšta	šöʾa	tmanya	ʾəčʾa	ʾəṣṛa’
…Van	ḥe	tre	ṭƚå	åṛpå	ḥemša	išṭa	šåvå			ɨsrå
Western (Ma’lula)	ăḥaḏ	iṯr 	ṯlōṯā	árpaʿ	ḥámšā	šḗt͔t͔ā	šůbʿā	ṯmṓnyā	téšʿā	ʿásrā
Ahvaz	ehda	trēn	tlāθa	ārba	hamša	šitta	šoββa	tmānya	ečča	asra
**South
+Old S. Arabian	’-ḥ-d	θ-n-y	θ-l-θ	r-b-‘	x-m-s	s-d-θ	s-b-’	θ-m-n	t-s-‘	‘-s-r
South Arabian (Harsusi)	t’ād	θərō	śə’layś	’ʔōrba	’xayməh	’hattəh	hōba	θəmōni	sē	ʔōśər
Sheri (Jibbali)	t’ad	θroh	śha’liθ	’ʔorbaʕ	xĩš	šɛt	šōʕ	’θũni	sɔʕ	’ʕɔśər
Socotra	t’ad	tra	’śilə	’ʔorbəʕ	’hemih	yhaʕT	’yhobəʔ	tə’moni	saʕ	’ʕaśər
*3N Ethiopic
+Geez	ʔaħadu	kɨlʔe	šelestu	ʔarba‘ɨttu	xammɨstu	sɨddɨstu	sɛb‘atu	sɛmɛntu	tɛs‘attu	‘aššɛrtu
Tigre	worot	kəl’ot	salas	’arba‘	ḥaməs	səs	sabu‘	samān	sə‘	‘asər
…Beni Amir	orot	kelot	salas	arba‘	hamis	siss	saba‘	saman	sa‘	‘asir
!Tigrinya	ḥadɛ	kələttɛ	sälästɛs	’arba‘tɛ	ḥammuštɛ	šudduštɛ	šob’attɛ	šommäntɛ	tɔš’attɛ	‘assärtɛ
*3S Ethiopic
!Amharic	and	hulät	sost	arat	ammɨst	sɨddɨst	säbat	sɨmmɨnt	zät’äññ	asɨr
Argobba	hand	ket	sost	arbit	ammest	seddest	sa’int	semment	zähţän	asser
Harari	aḥad	ko’ot	ši’išti	harat	hammisti	siddisti	sātti	sūt	zeḥţāñ	assir
E Gurage	ad	ōšt	šēšt	arat	ammest	seddest	sabt	semmut	ziţäññ	asser
+Gafat	ajjä	elettä	swostä	arbattä	ammestä	seddestä	säbattä	semmentä	zäţäññä	asrä
Soddo	att	kitt	sost	aratt	amməst	seddəst	säbatt	səmmənt	zäţäñ	assər
Goggot	quna	hwett	sost	arbätt	amməst	səddəst	säbätt	səmmutt	žäţä	assər
Muher (W Gurage)	at	khwet	soost	arbät	ammest	seddest	säbät	semmut	zhäţä	asser
Masqan	at	khwet	sost	arbät	ammest	seddest	säbät	semmut	zhäţä	asser
!CW Gurage	at	kwet	sost	arbät	aməst	sədəst	säbat	sumut	žäţä	asər
Ennemor	att	werʔet	soʔost	arβʔät	amʔəst	sədəst	säβʔat	sũũt	žĩʔä˜ 	assər
**Egyptian
+Egyptian	w-`-w	s-n-w-y	ḥ-m-t-w	y-f-d-w	d-y-w	s-y-s-w	s-f-ḥ-w	ḥ-m-n-w	p-s-d-w	m-d-w
+ (Recons.)	wu`y	si’newway	’ḥamtaw	yaf’daw	’dīyaw	sar’saw	’safxaw	ḥa’mānaw	pi’sīdyaw	mūdyaw
Coptic (Sahidic)	wa	snau	šomᵊnt	ftow	tiw	sow	šašᵊf	šmoun	psis	mᵊnt
…Akhmimic	we	sno	khamᵊt	ftau		se	sahᵊf			met
…Bohairic	wai	snau	šomᵊt	ftōw	tiw	sow	šašᵊf	šmēn	psit	mᵊnt

**Berber
+Proto-Berber	yn	sn	krad	okkoz	fuss	fuss d yn	fuss d sn	fuss d krad	aḍàw meraw	meraw
*3Guanche
+Guanche+ (Gran Canaria)	nait	smetti	amelotti	acodetti	simusetti	sesetti	satti	tamatti	alda-marava	marava
+Tenerife	ben	lini	amiat	arba	cansa	sumus	sàt	set	acot	marago
*3Tuareg
Tamahaq Ahaggar	iyen	essîn	keraḍ	okkoẓ 	semmus	seìs	essa	ettâm	teẓẓa	meraw
…Ghat	ian	sin	k’aradh	sekkuz	sommus	sadis	sa	tam	teza	meraw
Tamazheq	iyen	senat	karadh	kuz	sammus	sadis	sah	taman	tezih	meraw
Tamasheq	iyan	əsshin	kərăd	əkkoz	səmmos	sæìs	əssa	əttam	təz. a	məraw
*3Western
Zenaga	iun	šinan	karat	akoz	šammuš	šoduš	išša	ittem	tuza	mêrêg
*3Northern
Chenoua	iidj	siin	(Ar.)
Shilha (Tachelhit)	yan	sin	kraḍ	kkuz. 	səmmus	sìs	sa	ttam	ttz. a	mraw
…Bamarani (Ifni)	ian	sin	kraḍ	kkoç	semmus	s.ṣdis	sa	tam	tça	merau
Tamazight	yun	sin	šrað. 	rb‘a	ḥemsa	setta	seb‘a	θmanya	tsa‘a	‘ešra
…Figuig	idjen	senn	tlata	ṛebɛa	xemsa	setta	sebɛa	tmenya	tesɛa	ɛecṛa
Kabyle	yiwen / waḥed	sin / jųj	tlata	rebɛa	xemsa	seţţa	sebɛa	tmanya	tesɛa	ɛecr`a
*4Zenati
Ait Seghƚrushen	iG˘ 	snat	tlata	ṛbɛa	hmsa	sTa	ṣbɛa	tmaNya	tsɛa	ɛšra
Shawiya (Ohaouia)	ḥadéllu	tenīnu	tẹ́ltu	d’r̯bu	sȳ́eḳà	nȳeḳà	ḥaíč	ŭič	korkor	rū́ŭèla
Tuat (Taznatit)	iggen	sen
Riff (Tarifit)	iŷ	zenaim	zer`aza	erbâa	jemsa	setta	sebâa	zemenya	tesâa	âašra
…Senhayi	iwen	ŷuŷ	zelaza	arbâa	jamsa	setta	sebâa	zemenya	tsâauḍ	âašra
Ghmara	yann	zauǧ					səb‘ă
*4Mzab-Wargla
Gurara	iggen	sin	chah’adh
Mzab (Tumzabt)	iggen	sen	chared	okkoz	semmes	sez	saa	tam	tes	meraou
Wargla (Tagargrent)	iggen	sen	chared
Ghardaia	iggən	sənn	šared	ụkk°əz	səmməs	sətta	səbʕa	tam	təsʕa	mraw
*4East Zenati
Jerba	ižžen	tin	šared	šared d’ižžen	afus	afus d’ižžen	sebgat	attam	attam d’ižžen	akordaš
Nefusi	ujun	sen	šaret	okkoz	ufes	ufes d ujun	ufes d sen			sen n ifessen
*3Eastern
Ghadames	yū́n	sən	kāreḍ	aqqụz	səmməs	ṣuz. 	sā	tām	teṣụ̀ 	maraw
Siwa	ijîn	sin
**Omotic
*3South
Hamar	kalo	lama	makan	oydi	don	lah	tobba	lankay	sal	teppi
Banna	kʌlʌ	lɛma:	makan	ʔowidi	duŋ	lʌx	tʌɓa	lʌŋkai	səl	təɓi
Ari	wóllaq	qaskén	makkán	ʔoydí	dónq	láa	tabzá	qaskén-tamars	wolqán-tamars	tammá
Dime	wokkil	k’asten	mikkim	uddu	šinne	lah	tossum	k’ašnaš	bokolaš	tamme
*3North
*4Dizoid
Dizi	k’òy	tà:gn	kàdú	kùbḿ	úxcú	yàkú	tù:sú	zýέd	sàgɪl	támú
Shako	koy	t’agen	kaddu	kub’m	uču	yaku	tubsu	zyed	sagen	tam
Nao (Niyi)	isin	tagen	kaddu	kubm	učum	yakko	tessen	zyad	sagn	tamu
Mao
Hozo	onna	dombɔ	siyazi	bɛts’i	k’witsi	kɛn:i	ʔɔ̀:ta	ʔɔ̀:tá	ʔɔ̀:t(ɪ)	p’ɔ́:ši
Sezo	išilɛ	noombɛ	siizɛ	bɛɛts’ɛ	Uwiisɛ	t’ján:́έ:	`dɔ̀mbɔ̀	sjɑ̀:źέ	bɛs’έ́	θɔ́:šὲ
Bambeshi	iški	yUmbo	teeze	mɛts’ɛ	wUsi
*4Gonga
Kafa (Kaficho)	ikkā	gŭttā	kajā	gwda	ù´ jā	siritā	sabā́ta	šimintā	yitiyā	àjerā
Mocha (Shakacho)	ʔíkko	gútto	kä·ǧǧo	awúddo	u·ččo	šĭrítto	šabá·tto	šimítto	yí·ţiyo	á·širo
Anfillo	ikko	gutto	keǧǧo	auddo	amitto	širto	šabattó	šimittó	yiringo	aširó
Shinasha (Boro)	íkka	gittá	ke:zá	áwddá	u:sá	šeríta	šawáta	šimíta	je:riyá	tása
Amuru	ɪkka	gitta	kedža		hutša
*4Gimojan
Janjero (Yemsa)	isa11	hep1	keez1	ačeeč11	uuč3	issun12	naafun12	naaŋrin11	izgin11	asir11
Bencho (Gimira)	mat’3	nam4	kaz4	od4	uçˇ 2	sa2pm3	na2pm3	nyar2tn3	irs2tn3	tam5
She	mat	nam	kaz	od	uç. 	sapm	nap	nʸartu	irste	tam
Chara	issā	nantā	kezā	obdā	učča	sāfun	lāpun	nandirse	bizā	tantsā
Basketo	pʰɜtʰ:ɜn	nɑmʔi	ɑjdzi	ojdi	ɪš:ɪn	lɜhi	tɑbzɑ	lɑmɑkʰɑj	sɑ:kʰɑli	tɑʔɓɑ
Makle (Male)	pɛte	lɛm’o	hāytso	oydo	dongo	laho	lankay	salli	tuzuba	tapo
Oyda	pɛ̄to	nām’i	hāydzi
Walamo (Ometo)	ista	naaʔa	hezza	oydda	iccaca	usuppuna	laappuna	hoospuna	uddupunaa	tammaa
…Kullo	ita	naa	hezu	oyda	iceš	osuphuna	lapʰuna	hospʰuna	uɗupʰuna	tamma
Zayse	bizzó	namʔ	hays̀	ʔoydd	ʔišíč	ʔizúp	láap	lakkúče	s̀’íNgo	támm
Ganjule	gi'zo	'nam	'haits	'ʔo:'d	'šitš	ʔə'zu	'lab	laŋ'kutš	tan'sɪn	'tam:
Zergulla	bi'zo	'nam	'haits	'hoid	ʔi'šidž	ʔi'zib	'lab	la'kutše	'tansine	'tam
Gidiccho	bīze	nama	hāydzi
Gatsame	bĭzzo	šololo	mĭrzo	sagānē	aysuma	qēb’ē	wǎlǎ 	hārwazā	māydonārā	gačo
Koyra (Koorete)	bíźźo	lámʔe	háyźe	ʔóyde	ʔiččíčče	ʔizzúppe	lâppe	hazzúppe	ʔoddúppe	támme
**Cushitic
*3Beja
Beja (Tu-Bedawie)	ngaàl	mhaloo-’-b	mhày	faɗìg	ʔáy	ʔasagwir̀	ʔasaramaa-’-b	ʔasamháy	ʔas’s’aɗìg	tamìn
…Rein 1895	éngal	mállo	meháy	faḍíg	ay	asågŭr	asaráma	asemháy	aššaḍíg	tamún
…Wats 1888	kal	maluba	mahib	fadik	aïbe	assakor	assarmab	asemhéï	ashadik	temin
*3Central Cushitic
Awngi	lághu	lá. nga	shúgha	sédza	ánkua	wálta	langá. tta	saghá. tta	sésta	tsíkka
Kemant (Falasha, W Agaw)	lāwa	línga	sígha	sạ́dja	ánkua	wólta	lạngạ́tta	saghótta	séssa	chíkka
Xamir (Xamtanga)	láwā	liŋa	šakǔā́	sezā́	akǔā́	wal-tā́	laŋe-tā́	soho-tā́	saycā́	ṣekā́
Xamta	lowā	liŋā	šoqā	sizā	akuā	waltā	lantā	šowtā	ṣayč̣yā	ṣeqā
Bilin	laKw	lenga	seKwa	seja	ankwa	welta	lengeta	seKweta	sesa	shka
*3Eastern Cushitic
+Proto-HEC	*mitto	*lamo	*sase	*shoole	*omute	*leho	*lamala	*saddzee	*honso	*ton-me
Burji	micca	lama	fadi	foola	umutta	lia	lamala	hiditta	womfa	tanna
Gedeo	mitte	lame	sase	shoole	onde	jaane	torbaane	saddeeta	sallane	tomme
Hadiyya	mato	lamo	saso	sooro	onto	loho	lamara	sadeento	honso	tommo
Kambata	matu	lamu	sasu	shoolo	onto	leho	lamala	hezzetto	honso	torduma
Sidamo	mitte	lame	sase	shoole	onte	leye	lamala	sette	honse	tonne
Yaaku	wɛhɛ	c’ɛ	xaat	çwen	xoopi	iĺέ	tisíbo’	siite’	saakal	qapon
Birale	akala	lama	zéha	talaxa	hobbe	s’anafa	taxanke	íísta	gólanke	coma
Tsamay	dóokko	lakkí	zeeħ	sálaħ	xóobin	tábben	táħħan	sézzen	góllan	kúŋko
Afar	iník-i	nammáy-a	sidóx-u	firéy-i	konóy-u	lixéy-i	malxíin-i	ba-xáar-a	sa-gáal-a	tában-a
Saho	iniik	lammaa	adoḥ	afaar	koon	leeḥ	maleḥeen	baḥaar	sagaal	tammon
Dasenech	tákac	naama	seddi	ʔaffur	cen	li	tiyya	síét	saal	tommon
+Elmolo	t'óko	l'ááma	séépe	láfur	kên	yíi	tíípa	fúe	sáákal	t'ómon
Arbore	tokkó	laamá	seezzé	ʔafúr	čénn	ǧih	tuzba	suyé	saagalḍ	tommon̄ḍ
Bayso	'ko:	'lama	'sɛlə	'ʔafar	'kɛn	'lɛ	todo'ba	si'd:ɛ	'sa:gar	'tomo
Rendille	kôw	l'áma	s'éyyaħ	'áfar	cán	liħ	teeb'á	sitt'êt	saag'ál	tom'ón
!Somali	mid-ki	lába-di	sádehh-dí	áfar-ti	shan-ti	lehh-di	todòba-di	sidèd-di	sagàl-kí	tòban-ki
Tunni	ków	lámma	síddiʔ	áfar	šán	líʔ	toddóbo	síyéed	sagáal	tómon
Aweer (Boni)	kôw	lôw	síddè	áfar	shâŋ	líh	didd’óú	siyy’êd	s’áágal	tam’án
Oromo (Galla)	tokko	lama	sadii	afur	shan	jaʔa	torba	saddeet	sagal	kud’a
Borana	toko	lama	sadi	afur	shian	jaa	torba	sadeti	sagal	kudan
Gidole (Dirasha)	shokku	lak(ki)	halpatt	afur	hen	leh	tapp	lakkushet		hund’a
Bussa (Muusiye)	shukk’uha	taammu	halpatta	afurii	henii	lehi	seppa	saatteti		hund’a
Konso	takki	lakki	sessa	afur	ken	lehi	tappa	sette	sakal	kuɗan
*3Southern Cushitic
Dahalo	vattúkʷe	lííma	k’aba	saʕála	dáwatte	síít̪a	sáɓââ	nááne	t̪isía	kûmi
Ma’a (Mbugu)	we	nnu	xai	hai	kooi	matisu				ixadu
Asa	kinde	hlam	samak	hak	mut
Kw’adza	beʔa		tami	haka	koʔana				gweli	mibi
Iraqw	wák	tsár	tám	tsiyáhh	koo’án	lahhóo’	fáanqw	dakáat	gwaléel	mibangw
Alagwa (Wasi)	wak	tsar	tam	tsigaḩ 	koʔan	laḩo			gweleli	mib
Burunge	wak	cada	tam	cigaḩ	koʔan	laḩo			gwelel	mibi
**Chadic
*3Masa
Masa	tum	maʔ	hidi	fiɗi	faθ	karkia	sidia	glavandi	θeŋe	dogo
Zime	ɗaó	hōɓō	híndzìʔì	fíɗīʔī	vàƚà					gòrò
Lame (Pevé)	ɗáwà	hʷóɓò	hínčìʔi	fùɗìʔi	vʌ́l	kánki	ší:sà	čóhò	čə́fʌɗíʔò	gʷúɓú
Mesme	dau	hob	hindi	fidi	vaƚ	kandi	seda	čoho	terfi deu	gub
*3East
Somrai	man	sa	sūbu	wayti	īshi	ūgi	tágsŭba	wōdewōde	dōso	kǒār
Tumak	mon	ehe	sup	woli	siñ	wuhu	daksup	wowue	disa	koar
Ndam	mineu	reje	supu	woro	usi	ugi	wesubo	wodu wodu	tiše	kwar
Sarwa	muni	rei	sup	we	uǰu	ǰu biru min	ǰi esa re	marta	doso	doko
Miltu	man	sa	sobo	wedi	iši	wegi	laksup	welwel	disa mane	kwar
Nancere	pena	sue	sab	peri	bai	meneŋ	madai	perpende	cele	gware
Lele	pina	so	subu	poring	bai	meneng	mataling		cela	goro
Gabri	pon	wō	sōbu	pórbu	bay	jī	júrgum	márgum	tíngěshū	mōdo
Kabalai	pena	suo	sabu	pori	bai	ji	jurugum	margum	tegesu	guara
Kera	múna	bási	sógbe	uāda	uīdu	kāngi	sēda	aségen	tambala	bór
Mokulu (Mokilko)	sòo	sìré	’áɗó	pìɗé	páa(t)	zóo	sárá(t)	géssírè	géssát	kòomát
Dangla (Dangaléat)	kíɗá	sὲὲr	sûbbà	pòòt	bὲὲɗy					ɔ́rɔ̀k
Migama	káɗyì	séèrà	súbbà	póoɗí		béeɗyá	bízgíɗyì	póppóɗí	pârnàkáɗyì	’ôrrò
Jegu	kee	shee	sup	food	bei					ʔɔrɔk
Mogum	ke	seɾ	sup	pot	betdaŋ	mik	paise	poɾpəde	baɾkɛt	ora
Bidiyo	ke’eŋ	siɗì	subaŋ	paadaŋ	bèe’eŋ	pénke’	píisit	porpoɗ	penda	’òrrò
Mubi	fìnét	sī́r	súb’à	fá’dà	bí’jà	ístàlà	bḗsír	fárbàt	férbínì	kúrúk
Sokoro	kēti	mūru	subba	fāda	bīa	bíbīni	bāmu	bēsip	béfĭnī	órrǒka
Barain	fani	siidi	subu	fudu	dausu	dsumáui	desmidi	desumsubu	desumfudu	kur
*3Biu-Mandara
*4Group A
*5Tera
Tera	da	rap	kunu	vat	gurmun	njoŋ	m`u̍t	miyasi	məɮam	gwaŋ
Jara	adda	rɔp	ma:n	vada	wɔrmo	kwe	mut	sʌxrman	biɛrda	gwɔm
Ga'anda	ar̃ta	surv̂ɪ̀	mahkə̀n	fwəɗà	ɗɨrmən	mɪca	mwùt	fwətfwəɗa	wə̀nhəhəʔar̃tà	kum
…Gabin	hərtà	sɨri	maxkàn	fweɗə̀	ɗɨrmə̀n	mɪcè	mwə̀t	fwətfwəɗà	fenɗɨrƚmən	kùm
Pidhimdi	ərdò	rap	màkɨn	vəɗi	gurmun	šòŋ	muɗi	mìyὲrzi	mɪ̀ðam	ɓwàŋ
Hona	tɪ̀tal	suɣurì	maxə̀n	faɗà	tufù	mɪ̀ki	mɨɗu	wùvwəɗà	wùtàrè	gumdìɗi
*5Bura-Higi
Bura	ntaŋ	suɗà	makùř	fwař	ntufù	ŋ̀kwà	murfà	ncɨsù	ḿðà	kuma
Chibak	tə̀ŋ	sudæ` 	makùř	fwòɗu	tufù	ŋ̀kwà	muƚrɨfwæ` 	ntsisù	mɨðæ	kuma
Putai	duku	suɗà	makùr	fɔɗù	tufù	kwa	muɗufā	cisù	ḿðà	kuma
Margi	tàŋ	sə̀dàŋ	mákə̀r	fòɗù̥	ntə̀fù	ŋkwà	mə́ɗə́fù8	ntsìsù̥	ə́mdlù̥	kúmú̥
Kilba (Huba)	žʌ́ŋ	mí- ƚú	mákɨ̀rï¯ 	fʷáɗú	tʊ́fú	kwà	mí- ɗə̀fà	tšìsù	ɮà	kúmà
Higi (Kamwe)	paƚɛ	ɓwàge	màkìne	fwàre	ncìfe	kwaŋəy	mbùřfuŋəy	tìkìse	pƚtìyi	mùŋəy
Bana	tum	ma	hidi	fidi	fas¯ ch	kárkia	zīdia	kelafánti	thēne	dógo
Fali Kiria	gutàn	ɓwukuʔ	màkun	fwaɗùʔ	cɪfuʔ	ŋkwaŋ	mbùrùfūŋ	tùɣùsùʔ	ǹwƚti	gwùm
Fai Jilbu	lɪm	sul	màxku	fwəy	mùxtyup	ŋ̀kwaʔ	mbùrfîŋ	tə̀ɣɪ̀s	mə̀ðî	gumù
*5Mandara-Matakam
Sukur	khə̀rí	bák	má:khə̀r	fwàt	ƚá:m	mukwa	madaf	tɪgɪz	mɪxi	úwâŋ
Lamang	tíuwá	xésá	x̀kə́ná	ùfáɗá	xw` táfá	m̀kwá	ə̀lfáŋá	tə̀ghásá	tə̀mbáyá	ghwáŋá
Hidé	turtuk	hìs	ḥkəŋ	fwaɗ	htaf	ŋku	ndfàŋ	tʁas	tumbày	ʁwan
Mandara (Wandala)	pəle	bùwà	kɨɠye	ʔùfwàɗe	ʔiðìɓè	ŋ̀kwàxὲ	vuyὲ	tisè	məsɨlƚmànè	kùlàwà
Paduko (Parkwa)	boktera	ezera	makera	ofuda	zama	mokūa	madufa	eza	metecar	χima
Glavda	pala	bʊwà	xx̀kʊrɗà	ʔufaɗà	ðɪɓà	ŋ́kwàxà	wuɗifà	təxsà	vàsʊ̀lə̀mbàdà	kʊlàwà
Guduf	kyákh	mítsh	xəkrrɗà	ùfʌ́ɗ	lííɓà					khə́lɗə́khà
Dghwede	tɨtɨkwì	micè	xəkùrè	fiɗì	ðiɓi	ŋ́kwe	wuɗìfi	təɣə̀še	təmbə̀	ɣwàŋga
Gvoko	pal	bu	xər	ufad	thləm	ŋkox	udif	təx	wέsɛlɛmbad	kəlaw
Mafa	stáɗ	câw	màkâr	faɗ	ʐâm					kúlà
Matakam (Mofu)	stàɗ	càw	màkâar	faɗ	ðam	mòkwâ	tsaraɗ	tsə̀məkàɗ	cuɗ	kuƚa
Gisiga	plola	čiu	makir	mufát	sūin	maerké	tārnă	dā́ngăfă	gōltĭr	kŭrrŭ
Mada	fték	sə́lá	màhkár	ùfáɗ	dlám	mùkó	tlásə̀lá	tlálàkár	ábùlùmbó	kró
Hurza (Pelasla)	bílè	cáw	maŋgàn	fúɗù	dárà	márkà	cíɓà	žírè	táhkà	jím
Muktele (Matal)	tékùlá	sə́lá	mákə̀r	ùfáɗ	ə́dlù	mùkwá	mùdúf	mìtìgíš	ládə̀gá	klú
*5Daba
Daba	tə̀kən	sə̀rəy	màkat	fwot	jə̀ɓun	kwox	cìšìre	cifətcifət	də̀rƚfə̀tə̀kən	gup
Gawar	tagu’eng	bak	măkhkát	fắt	čěbĕ́ng	nko	šĭlĕ́	jămăkh kắt	jăfăt	wam
Hina (Mina)	ta	solŏ́́	māká	fa	sēbṓn	nku	dsĭlé	fādād	berkantā́	gē
*5Bata
Gudu	jə́ŋ	bœ` k	mā:kə́n	fwád	tùf	kwǎ	mīskàtā	fɔ̄rfwād	žī́έtə́pə̀n	pú
Bata	hĭdō	pe	mākin	fāt	túf	kuldāka	kulăpē	fārfat	támbĭdo	bū
Gude	tân	bray	mak	ʔùnfwəɗ	tuf	kuwà	mɨɗɨf	tə̀ ɣɨs	ʔɪ̀llɪŋ	pu
Nzangi	hɪdè	buk	mə̀ də̀ fəl	fwət	tuf	kwɔx	mə̀ skatə̀	fwəfwaɗè	təmɓeɗè	pu
Bacama	hiɗò	kpe	ḿwɔ̀kun	fwət	tuf	tukwə̀ltaka	tukòlukpe	fwɔ̂fwət	ɗɔ̀mbiɗò	bə̌w
*4Group B
